Q_pred,OID_,POINT_X_x,POINT_Y_x
-1.0,5499,-73.11764317,5.785274757
-1.0,5500,-73.11761254,5.785190414
-1.0,5501,-73.11758191,5.785106071
-1.0,5502,-73.11755129,5.785021729
1.0,5503,-73.11752066,5.784937386
-1.0,5504,-73.11749003,5.784853043
-1.0,5505,-73.1174594,5.7847687
-1.0,5506,-73.1174231,5.78468888
-1.0,5507,-73.1173868,5.784609059
-1.0,5508,-73.1173505,5.78452924
-1.0,5509,-73.1173142,5.78444942
-1.0,5510,-73.1172779,5.7843696
-1.0,5511,-73.11728405,5.784286599
-1.0,5512,-73.1172902,5.7842036
-1.0,5513,-73.11729635,5.7841206
-1.0,5514,-73.1173025,5.7840376
-1.0,5515,-73.11730865,5.7839546
-1.0,5516,-73.1173148,5.7838716
-1.0,5517,-73.11732095,5.783788601
-1.0,5518,-73.1173271,5.7837056
-1.0,5519,-73.11734045,5.783627526
-1.0,5520,-73.1173538,5.78354945
-1.0,5521,-73.11736715,5.783471376
-1.0,5522,-73.1173805,5.7833933
-1.0,5523,-73.1175094,5.7781184
-1.0,5524,-73.11742579,5.778104589
-1.0,5525,-73.11734218,5.778090778
-1.0,5526,-73.11725857,5.778076967
-1.0,5527,-73.11717496,5.778063156
-1.0,5528,-73.11709134,5.778049344
-1.0,5529,-73.11700773,5.778035533
-1.0,5530,-73.11692412,5.778021722
-1.0,5531,-73.11684051,5.778007911
-1.0,5532,-73.1167569,5.7779941
-1.0,5533,-73.1173093,5.7744621
-1.0,5534,-73.117332,5.774538251
-1.0,5535,-73.1173547,5.774614401
-1.0,5536,-73.1173774,5.774690551
-1.0,5537,-73.1174001,5.7747667
-1.0,5538,-73.1174228,5.77484285
1.0,5539,-73.1174455,5.774919
-1.0,5540,-73.1174566,5.775008
-1.0,5541,-73.1174596,5.7750282
1.0,5542,-73.117681,5.7750179
-1.0,5543,-73.11763005,5.77494525
-1.0,5544,-73.1175791,5.7748726
-1.0,5545,-73.11753413,5.774804183
-1.0,5546,-73.11748917,5.774735767
-1.0,5547,-73.1174442,5.77466735
-1.0,5548,-73.11739923,5.774598933
-1.0,5549,-73.11735427,5.774530517
-1.0,5550,-73.1173093,5.7744621
-1.0,5551,-73.1175178,5.7780291
-1.0,5552,-73.1175094,5.7781184
-1.0,5553,-73.1177373,5.7752831
-1.0,5554,-73.11772323,5.7752168
-1.0,5555,-73.11770915,5.7751505
-1.0,5556,-73.11769508,5.7750842
1.0,5557,-73.117681,5.7750179
-1.0,5558,-73.1148519,5.768474
-1.0,5559,-73.11494038,5.76848343
-1.0,5560,-73.11502887,5.76849286
-1.0,5561,-73.11511735,5.768502291
-1.0,5562,-73.11520583,5.768511722
-1.0,5563,-73.11529431,5.768521152
-1.0,5564,-73.1153828,5.768530582
-1.0,5565,-73.11547128,5.768540013
-1.0,5566,-73.11555976,5.768549443
-1.0,5567,-73.11564824,5.768558874
-1.0,5568,-73.11573673,5.768568304
-1.0,5569,-73.11582521,5.768577735
-1.0,5570,-73.11591369,5.768587165
-1.0,5571,-73.11600217,5.768596595
-1.0,5572,-73.11609066,5.768606026
-1.0,5573,-73.11617914,5.768615457
-1.0,5574,-73.11626762,5.768624887
-1.0,5575,-73.1163561,5.768634317
-1.0,5576,-73.11644459,5.768643748
-1.0,5577,-73.11653307,5.768653178
-1.0,5578,-73.11662155,5.768662608
-1.0,5579,-73.11671003,5.768672039
-1.0,5580,-73.11679852,5.76868147
-1.0,5581,-73.116887,5.7686909
-1.0,5582,-73.11697548,5.76870033
-1.0,5583,-73.11706397,5.768709761
-1.0,5584,-73.11715245,5.768719192
-1.0,5585,-73.11724093,5.768728622
-1.0,5586,-73.11732941,5.768738052
-1.0,5587,-73.1174179,5.768747483
-1.0,5588,-73.11750638,5.768756913
-1.0,5589,-73.11759486,5.768766343
-1.0,5590,-73.11768334,5.768775774
-1.0,5591,-73.11777183,5.768785205
-1.0,5592,-73.11786031,5.768794635
-1.0,5593,-73.11794879,5.768804065
-1.0,5594,-73.11803727,5.768813496
-1.0,5595,-73.11812576,5.768822926
-1.0,5596,-73.11821424,5.768832357
-1.0,5597,-73.11830272,5.768841787
-1.0,5598,-73.1183912,5.768851218
-1.0,5599,-73.11847969,5.768860648
-1.0,5600,-73.11856817,5.768870078
-1.0,5601,-73.11865665,5.768879508
-1.0,5602,-73.11874513,5.76888894
-1.0,5603,-73.11883362,5.76889837
-1.0,5604,-73.1189221,5.7689078
-1.0,5605,-73.11901189,5.768910269
-1.0,5606,-73.11910167,5.768912738
-1.0,5607,-73.11919146,5.768915206
-1.0,5608,-73.11928125,5.768917676
-1.0,5609,-73.11937104,5.768920144
-1.0,5610,-73.11946082,5.768922613
-1.0,5611,-73.11955061,5.768925082
-1.0,5612,-73.1196404,5.76892755
-1.0,5613,-73.11973019,5.768930019
-1.0,5614,-73.11981997,5.768932488
-1.0,5615,-73.11990976,5.768934956
-1.0,5616,-73.11999955,5.768937426
-1.0,5617,-73.12008934,5.768939894
-1.0,5618,-73.12017912,5.768942363
-1.0,5619,-73.12026891,5.768944832
-1.0,5620,-73.1203587,5.7689473
-1.0,5621,-73.12044849,5.768949769
-1.0,5622,-73.12053827,5.768952238
-1.0,5623,-73.12062806,5.768954706
-1.0,5624,-73.12071785,5.768957176
-1.0,5625,-73.12080764,5.768959644
-1.0,5626,-73.12089742,5.768962113
-1.0,5627,-73.12098721,5.768964582
-1.0,5628,-73.121077,5.76896705
-1.0,5629,-73.12116679,5.768969519
-1.0,5630,-73.12125658,5.768971988
-1.0,5631,-73.12134636,5.768974456
-1.0,5632,-73.12143615,5.768976926
-1.0,5633,-73.12152594,5.768979394
-1.0,5634,-73.12161572,5.768981863
-1.0,5635,-73.12170551,5.768984332
-1.0,5636,-73.1217953,5.7689868
-1.0,5637,-73.12188509,5.768989269
-1.0,5638,-73.12197487,5.768991738
-1.0,5639,-73.12206466,5.768994206
-1.0,5640,-73.12215445,5.768996676
-1.0,5641,-73.12224424,5.768999144
-1.0,5642,-73.12233402,5.769001613
-1.0,5643,-73.12242381,5.769004082
-1.0,5644,-73.1225136,5.76900655
-1.0,5645,-73.12260339,5.769009019
-1.0,5646,-73.12269317,5.769011488
-1.0,5647,-73.12278296,5.769013956
-1.0,5648,-73.12287275,5.769016426
-1.0,5649,-73.12296254,5.769018894
-1.0,5650,-73.12305233,5.769021363
-1.0,5651,-73.12314211,5.769023832
-1.0,5652,-73.1232319,5.7690263
-1.0,5653,-73.12332169,5.769028769
-1.0,5654,-73.12341147,5.769031238
-1.0,5655,-73.12350126,5.769033706
-1.0,5656,-73.12359105,5.769036176
-1.0,5657,-73.12368084,5.769038644
-1.0,5658,-73.12377062,5.769041113
-1.0,5659,-73.12386041,5.769043582
-1.0,5660,-73.1239502,5.76904605
-1.0,5661,-73.12403999,5.769048519
-1.0,5662,-73.12412977,5.769050988
-1.0,5663,-73.12421956,5.769053456
-1.0,5664,-73.12430935,5.769055925
-1.0,5665,-73.12439914,5.769058394
-1.0,5666,-73.12448892,5.769060863
-1.0,5667,-73.12457871,5.769063332
-1.0,5668,-73.1246685,5.7690658
-1.0,5669,-73.12475829,5.769068269
-1.0,5670,-73.12484808,5.769070738
-1.0,5671,-73.12493786,5.769073206
-1.0,5672,-73.12502765,5.769075675
-1.0,5673,-73.12511744,5.769078144
-1.0,5674,-73.12520722,5.769080613
-1.0,5675,-73.12529701,5.769083082
-1.0,5676,-73.1253868,5.76908555
-1.0,5677,-73.12547659,5.769088019
-1.0,5678,-73.12556637,5.769090488
-1.0,5679,-73.12565616,5.769092956
-1.0,5680,-73.12574595,5.769095426
-1.0,5681,-73.12583574,5.769097894
-1.0,5682,-73.12592553,5.769100363
-1.0,5683,-73.12601531,5.769102832
-1.0,5684,-73.1261051,5.7691053
-1.0,5685,-73.1167119,5.7751248
-1.0,5686,-73.11673007,5.775212875
-1.0,5687,-73.11674825,5.775300949
-1.0,5688,-73.11676642,5.775389024
-1.0,5689,-73.1167846,5.7754771
-1.0,5690,-73.1174566,5.775008
-1.0,5691,-73.11739885,5.77501705
-1.0,5692,-73.1173411,5.7750261
-1.0,5693,-73.11725737,5.775039229
-1.0,5694,-73.11717364,5.775052358
-1.0,5695,-73.11708991,5.775065486
-1.0,5696,-73.11700619,5.775078614
-1.0,5697,-73.11692246,5.775091743
-1.0,5698,-73.11683873,5.775104872
-1.0,5699,-73.116755,5.775118
-1.0,5700,-73.1167119,5.7751248
-1.0,5701,-73.11662762,5.775137865
-1.0,5702,-73.11654334,5.775150929
-1.0,5703,-73.11645906,5.775163993
-1.0,5704,-73.11637479,5.775177057
-1.0,5705,-73.11629051,5.775190121
-1.0,5706,-73.11620623,5.775203186
